代號,名稱,擴充名,漲跌,昨收,開盤,幅度%,成交價,最高,最低,成交量,昨量,定價量,漲停,跌停,單量,成交金額,賣量,買量,振幅,買進,賣出
2330,台積電,2330,15.0,2445.0,2465.0,0.61,2460.0,2500.0,2455.0,19209,26455,0,2685.0,2205.0,3108,453684,51,663,1.84,2460.0,2465.0
2404,漢唐,2404,-30.0,1350.0,1350.0,2.22,1320.0,1350.0,1285.0,2239,1669,0,1485.0,1215.0,115,293234,36,12,4.81,1320.0,1325.0
5536,聖暉*,5536,20.0,1430.0,1435.0,1.41,1435.0,1450.0,1400.0,748,668,0,1555.0,1275.0,30,106349,12,1,3.53,1430.0,1440.0
6139,亞翔,6139,-16.0,948.0,960.0,1.69,932.0,960.0,928.0,3646,6212,0,1040.0,854.0,203,343529,2,35,3.38,932.0,933.0
6196,帆宣,6196,-18.0,588.0,595.0,3.06,570.0,596.0,568.0,1578,1599,0,646.0,530.0,108,90988,1,22,4.76,570.0,571.0
6691,洋基工程,6691,-14.0,762.0,774.0,1.84,748.0,774.0,748.0,1204,980,0,838.0,686.0,115,91123,1,10,3.41,748.0,749.0
4749,新應材,4749,5.0,913.0,942.0,0.55,918.0,965.0,916.0,1445,512,0,1000.0,822.0,50,135197,1,14,5.37,918.0,920.0
4772,台特化,4772,2.0,281.0,284.5,0.71,283.0,291.5,282.0,1251,983,0,309.0,253.0,39,35888,3,25,3.38,283.0,283.5
4755,三福化,4755,11.0,133.0,137.0,8.27,144.0,146.0,137.0,1093,234,0,146.0,120.0,24,15597,13,10,6.77,144.0,144.5
3532,台勝科,3532,-34.0,440.0,455.0,7.73,406.0,484.0,406.0,15795,941,0,484.0,396.0,243,698373,18,15,17.73,406.0,406.5
6488,環球晶,6488,80.0,1255.0,1290.0,6.37,1335.0,1380.0,1280.0,21316,3725,0,1380.0,1130.0,497,2872121,22,102,7.97,1330.0,1335.0
1560,中砂,1560,-11.0,756.0,769.0,1.46,745.0,769.0,740.0,583,675,0,831.0,681.0,50,43785,3,1,3.84,744.0,745.0
3661,世芯-KY,3661,-435.0,4650.0,4700.0,9.35,4215.0,4700.0,4210.0,1954,2698,0,5115.0,4185.0,101,859670,5,7,10.54,4215.0,4220.0
3443,創意,3443,-435.0,5040.0,5105.0,8.63,4605.0,5105.0,4555.0,2260,1774,0,5540.0,4540.0,102,1071684,6,24,10.91,4600.0,4605.0
4958,臻鼎-KY,4958,-34.0,613.0,616.0,5.55,579.0,621.0,567.0,32178,21761,0,674.0,552.0,1191,1898538,18,286,8.81,578.0,579.0
3044,健鼎,3044,-14.0,520.0,523.0,2.69,506.0,525.0,502.0,2571,1577,0,572.0,468.0,267,130808,49,16,4.42,505.0,506.0
3711,日月光投控,3711,-3.0,682.0,698.0,0.44,679.0,712.0,676.0,22241,36062,0,750.0,614.0,1582,1535568,10,89,5.28,679.0,680.0
6271,同欣電,6271,-7.0,279.0,294.0,2.51,272.0,302.0,272.0,28399,27505,0,306.5,251.5,1123,804481,53,50,10.75,271.5,272.0
5434,崇越,5434,-9.0,531.0,527.0,1.69,522.0,535.0,521.0,1881,1584,0,584.0,478.0,136,99066,3,13,2.64,522.0,523.0
8046,南電,8046,-110.0,1185.0,1160.0,9.28,1075.0,1170.0,1070.0,13347,12832,0,1300.0,1070.0,331,1465663,20,53,8.44,1075.0,1080.0
3037,欣興,3037,-50.0,969.0,972.0,5.17,917.0,972.0,897.0,21783,17567,0,1060.0,871.0,752,2029672,2,56,7.76,916.0,918.0
3189,景碩,3189,-70.0,833.0,807.0,8.4,763.0,807.0,763.0,3521,3216,0,916.0,750.0,478,274780,7,5,5.28,763.0,764.0
2449,京元電子,2449,16.0,335.0,360.0,4.78,351.0,367.5,349.5,51012,30833,0,368.5,301.5,2079,1830163,8,143,5.37,351.0,351.5
7769,鴻勁,7769,-65.0,6865.0,7030.0,0.95,6800.0,7030.0,6660.0,346,0,0,7550.0,6180.0,39,235506,1,3,5.39,6780.0,6810.0
6223,旺矽,6223,-525.0,7380.0,7700.0,7.11,6855.0,7700.0,6855.0,554,582,0,8115.0,6645.0,56,392320,1,2,11.45,6850.0,6900.0
6515,穎崴,6515,-985.0,9900.0,10180.0,9.95,8915.0,10180.0,8910.0,266,523,0,10890.0,8910.0,17,246354,1,9,12.83,8910.0,8945.0
6510,精測,6510,-255.0,3320.0,3375.0,7.68,3065.0,3390.0,3055.0,347,290,0,3650.0,2990.0,26,109767,1,2,10.09,3065.0,3085.0
6217,中探針,6217,-13.0,269.0,269.0,4.83,256.0,269.0,256.0,1385,6146,0,295.5,242.5,104,36173,4,9,4.83,256.0,256.5
3264,欣銓,3264,10.0,247.0,268.0,4.05,257.0,271.5,254.5,18551,10430,0,271.5,222.5,618,492977,42,55,6.88,256.5,257.0
6239,力成,6239,6.5,338.0,349.0,1.92,344.5,360.0,340.5,41796,17914,0,371.5,304.5,1698,1468493,37,10,5.77,344.5,345.0
2383,台光電,2383,-605.0,6080.0,6225.0,9.95,5475.0,6250.0,5475.0,2973,2784,0,6685.0,5475.0,19,1668534,287,0,12.75,0.0,5475.0
6274,台燿,6274,-160.0,1790.0,1820.0,8.94,1630.0,1825.0,1615.0,7729,7643,0,1965.0,1615.0,241,1293079,6,14,11.73,1630.0,1635.0
8358,金居,8358,-27.0,590.0,596.0,4.58,563.0,608.0,560.0,9843,7793,0,649.0,531.0,480,570910,27,30,8.14,563.0,564.0
2368,金像電,2368,-80.0,1305.0,1335.0,6.13,1225.0,1335.0,1190.0,5143,5396,0,1435.0,1175.0,219,638085,50,55,11.11,1220.0,1225.0
3715,定穎投控,3715,-7.0,172.0,174.5,4.07,165.0,174.5,164.0,10196,3760,0,189.0,155.0,402,170617,28,745,6.1,165.0,165.5
1815,富喬,1815,-2.0,101.5,102.5,1.97,99.5,103.0,98.1,16203,12250,0,111.5,91.4,939,162462,59,123,4.83,99.5,99.6
6213,聯茂,6213,2.0,394.0,409.5,0.51,396.0,411.0,379.0,33277,29995,0,433.0,355.0,958,1308794,53,35,8.12,396.0,396.5
1303,南亞,1303,-12.0,197.0,200.0,6.09,185.0,200.0,181.0,24357,35065,0,216.5,177.5,1501,461933,260,98,9.64,184.5,185.0
8021,尖點,8021,-28.0,558.0,569.0,5.02,530.0,569.0,530.0,634,1555,0,613.0,503.0,126,34202,1,3,6.99,530.0,531.0
8064,東捷,8064,-7.0,145.5,145.0,4.81,138.5,145.5,137.5,4973,4470,0,160.0,131.0,218,69891,48,203,5.5,138.0,138.5
3167,大量,3167,28.0,877.0,911.0,3.19,905.0,964.0,884.0,6547,3647,0,964.0,790.0,101,612019,61,12,9.12,904.0,905.0
2317,鴻海,2317,1.5,240.5,243.5,0.62,242.0,247.5,240.5,42156,49009,0,264.5,216.5,2554,1026377,21,666,2.91,241.5,242.0
2356,英業達,2356,-0.4,67.6,67.9,0.59,67.2,69.2,67.2,25790,23036,0,74.3,60.9,1422,175791,20,263,2.96,67.2,67.3
6669,緯穎,6669,-230.0,5265.0,5325.0,4.37,5035.0,5325.0,4995.0,1143,1350,0,5790.0,4740.0,98,583113,14,1,6.27,5035.0,5050.0
3693,營邦,3693,-13.5,507.0,513.0,2.66,493.5,516.0,493.5,432,947,0,557.0,456.5,56,21719,1,5,4.44,493.0,495.0
2308,台達電,2308,-80.0,2075.0,2120.0,3.86,1995.0,2135.0,1995.0,8113,14290,0,2280.0,1870.0,734,1661324,33,43,6.75,1995.0,2000.0
3017,奇鋐,3017,-90.0,2760.0,2790.0,3.26,2670.0,2790.0,2615.0,3472,4294,0,3035.0,2485.0,184,933138,3,15,6.34,2665.0,2670.0
6805,富世達,6805,-60.0,1630.0,1645.0,3.68,1570.0,1650.0,1560.0,1502,928,0,1790.0,1470.0,63,238013,2,13,5.52,1570.0,1575.0
3653,健策,3653,-100.0,3420.0,3475.0,2.92,3320.0,3475.0,3320.0,693,1085,0,3760.0,3080.0,67,234064,14,3,4.53,3320.0,3325.0
2059,川湖,2059,-215.0,8000.0,8000.0,2.69,7785.0,8000.0,7495.0,441,370,0,8800.0,7200.0,16,339423,1,1,6.31,7785.0,7795.0
2345,智邦,2345,-90.0,2735.0,2825.0,3.29,2645.0,2825.0,2600.0,2184,2923,0,3005.0,2465.0,192,586066,1,3,8.23,2645.0,2655.0
3665,貿聯-KY,3665,-50.0,1995.0,1995.0,2.51,1945.0,1995.0,1910.0,1951,2046,0,2190.0,1800.0,98,378974,3,23,4.26,1940.0,1945.0
6197,佳必琪,6197,0.0,372.5,375.0,0.0,372.5,375.0,363.0,2370,2887,0,409.5,335.5,97,87740,1,9,3.22,372.0,372.5
5289,宜鼎,5289,10.0,1635.0,1650.0,0.61,1645.0,1720.0,1625.0,2659,3114,0,1795.0,1475.0,144,442706,2,14,5.81,1645.0,1650.0
2395,研華,2395,-6.0,521.0,523.0,1.15,515.0,528.0,506.0,1456,1953,0,573.0,469.0,249,75117,36,3,4.22,515.0,516.0
8234,新漢,8234,0.0,71.0,72.0,0.0,71.0,73.8,71.0,1098,1329,0,78.1,63.9,79,7934,14,19,3.94,71.0,71.3
2359,所羅門,2359,0.5,142.0,143.0,0.35,142.5,146.0,142.0,4351,13363,0,156.0,128.0,249,62578,25,85,2.82,142.0,142.5
6278,台表科,6278,-9.5,212.0,218.0,4.48,202.5,218.5,202.5,9991,7509,0,233.0,191.0,441,209971,34,80,7.55,202.5,203.0
6451,訊芯-KY,6451,-22.0,543.0,547.0,4.05,521.0,552.0,513.0,2936,4013,0,597.0,489.0,194,156060,3,5,7.18,520.0,521.0
4979,華星光,4979,-11.5,468.5,472.0,2.45,457.0,483.0,451.5,5523,10250,0,515.0,422.0,233,257513,53,25,6.72,456.5,457.0
6442,光聖,6442,-45.0,1640.0,1675.0,2.74,1595.0,1690.0,1580.0,1263,1684,0,1800.0,1480.0,78,205060,5,3,6.71,1595.0,1600.0
3008,大立光,3008,-95.0,4230.0,4210.0,2.25,4135.0,4280.0,4010.0,1842,1341,0,4650.0,3810.0,86,762824,1,1,6.38,4135.0,4140.0
3163,波若威,3163,-19.0,818.0,830.0,2.32,799.0,845.0,785.0,3049,875,0,899.0,737.0,143,248894,2,3,7.33,799.0,800.0
4991,環宇-KY,4991,-57.0,578.0,578.0,9.86,521.0,586.0,521.0,5980,4186,0,635.0,521.0,41,328078,783,0,11.25,0.0,521.0
4977,眾達-KY,4977,-3.0,162.0,165.0,1.85,159.0,166.0,158.5,1233,2071,0,178.0,146.0,55,19869,2,8,4.63,159.0,159.5
2455,全新,2455,-20.0,358.0,372.5,5.59,338.0,375.0,337.0,11689,1892,0,393.5,322.5,494,412629,6,16,10.61,337.5,338.0
