代號,名稱,擴充名,漲跌,昨收,開盤,幅度%,成交價,最高,最低,成交量,昨量,定價量,漲停,跌停,單量,成交金額,賣量,買量,振幅,買進,賣出
2330,台積電,2330,-50.0,2465.0,2450.0,2.03,2415.0,2460.0,2415.0,26936.0,23307.0,0.0,2710.0,2220.0,6261.0,6555826.0,266.0,292.0,1.83,2415.0,2420.0
2404,漢唐,2404,15.0,1200.0,1220.0,1.25,1215.0,1245.0,1200.0,1919.0,2138.0,0.0,1320.0,1080.0,133.0,234493.0,6.0,19.0,3.75,1215.0,1220.0
5536,聖暉*,5536,-45.0,1260.0,1270.0,3.57,1215.0,1270.0,1205.0,802.0,1613.0,0.0,1385.0,1135.0,53.0,98351.0,2.0,8.0,5.16,1215.0,1225.0
6139,亞翔,6139,9.0,866.0,869.0,1.04,875.0,906.0,860.0,3199.0,3632.0,0.0,952.0,780.0,110.0,282047.0,4.0,22.0,5.31,875.0,876.0
6196,帆宣,6196,3.0,546.0,546.0,0.55,549.0,580.0,546.0,1853.0,1787.0,0.0,600.0,491.5,61.0,103430.0,3.0,5.0,6.23,549.0,550.0
6691,洋基工程,6691,-7.0,715.0,716.0,0.98,708.0,725.0,705.0,414.0,1333.0,0.0,786.0,644.0,27.0,29543.0,1.0,3.0,2.8,707.0,710.0
4749,新應材,4749,-11.0,877.0,881.0,1.25,866.0,887.0,866.0,469.0,743.0,0.0,964.0,790.0,18.0,41057.0,1.0,8.0,2.39,866.0,867.0
4772,台特化,4772,-4.0,274.5,277.0,1.46,270.5,277.0,269.0,332.0,367.0,0.0,301.5,247.5,17.0,9020.0,2.0,18.0,2.91,270.0,270.5
4755,三福化,4755,-2.5,134.0,134.0,1.87,131.5,134.0,131.5,208.0,504.0,0.0,147.0,121.0,14.0,2750.0,2.0,13.0,1.87,131.5,132.0
3532,台勝科,3532,14.0,409.5,415.0,3.42,423.5,450.0,408.5,8913.0,6802.0,0.0,450.0,369.0,193.0,384578.0,10.0,41.0,10.13,423.0,423.5
6488,環球晶,6488,120.0,1230.0,1315.0,9.76,1350.0,1350.0,1275.0,6614.0,9236.0,0.0,1350.0,1110.0,23.0,882685.0,0.0,5961.0,6.1,1350.0,0.0
1560,中砂,1560,11.0,698.0,706.0,1.58,709.0,736.0,700.0,792.0,1144.0,0.0,767.0,629.0,42.0,56757.0,2.0,3.0,5.16,708.0,709.0
3661,世芯-KY,3661,145.0,4065.0,4105.0,3.57,4210.0,4360.0,4105.0,1418.0,1499.0,0.0,4470.0,3660.0,96.0,603218.0,6.0,5.0,6.27,4205.0,4210.0
3443,創意,3443,-60.0,4400.0,4380.0,1.36,4340.0,4560.0,4330.0,1765.0,1588.0,0.0,4840.0,3960.0,100.0,780307.0,1.0,7.0,5.23,4335.0,4340.0
4958,臻鼎-KY,4958,23.0,565.0,576.0,4.07,588.0,604.0,567.0,32772.0,30706.0,0.0,621.0,509.0,887.0,1927385.0,74.0,37.0,6.55,588.0,589.0
3044,健鼎,3044,-11.0,472.0,459.0,2.39,448.5,464.5,447.5,4564.0,3312.0,0.0,505.0,413.5,221.0,206806.0,42.0,12.0,3.7,448.5,449.0
3711,日月光投控,3711,52.0,625.0,632.0,8.32,677.0,685.0,627.0,30902.0,25308.0,0.0,687.0,563.0,1383.0,2066147.0,113.0,46.0,9.28,676.0,677.0
6271,同欣電,6271,-3.0,255.0,257.5,1.18,252.0,266.5,251.0,9366.0,12619.0,0.0,280.5,229.5,511.0,241358.0,62.0,62.0,6.08,251.5,252.0
5434,崇越,5434,0.0,509.0,514.0,0.0,509.0,525.0,509.0,1050.0,1154.0,0.0,559.0,458.5,71.0,54002.0,12.0,27.0,3.14,509.0,510.0
8046,南電,8046,110.0,1105.0,1110.0,9.95,1215.0,1215.0,1090.0,22485.0,19359.0,0.0,1215.0,995.0,46.0,2664482.0,0.0,2034.0,11.31,1215.0,0.0
3037,欣興,3037,12.0,863.0,890.0,1.39,875.0,925.0,867.0,32450.0,31607.0,0.0,949.0,777.0,993.0,2908415.0,10.0,47.0,6.72,875.0,876.0
3189,景碩,3189,40.0,755.0,770.0,5.3,795.0,829.0,770.0,2433.0,4189.0,0.0,830.0,680.0,181.0,195672.0,8.0,4.0,7.81,795.0,798.0
2449,京元電子,2449,3.0,305.5,309.5,0.98,308.5,317.0,304.0,18935.0,25222.0,0.0,336.0,275.0,863.0,586937.0,19.0,88.0,4.26,308.5,309.0
7769,鴻勁,7769,605.0,6055.0,6410.0,9.99,6660.0,6660.0,6205.0,584.0,0.0,0.0,6660.0,5450.0,5.0,382756.0,0.0,47.0,7.51,6660.0,0.0
6223,旺矽,6223,640.0,6460.0,7000.0,9.94,7080.0,7080.0,6760.0,627.0,724.0,0.0,7080.0,5795.0,2.0,441801.0,0.0,161.0,4.97,7080.0,0.0
6515,穎崴,6515,60.0,7705.0,8075.0,0.78,7765.0,8075.0,7610.0,287.0,434.0,0.0,8475.0,6935.0,19.0,225216.0,2.0,1.0,6.04,7765.0,7850.0
6510,精測,6510,30.0,2840.0,2850.0,1.06,2855.0,3000.0,2835.0,339.0,276.0,0.0,3105.0,2545.0,19.0,99001.0,1.0,1.0,5.84,2855.0,2860.0
6217,中探針,6217,-4.0,254.0,259.0,1.57,250.0,262.0,250.0,742.0,797.0,0.0,279.0,229.0,100.0,18926.0,35.0,6.0,4.72,249.5,250.0
3264,欣銓,3264,3.0,232.0,234.0,1.29,235.0,239.0,229.5,4950.0,5115.0,0.0,255.0,209.0,247.0,115961.0,24.0,8.0,4.09,234.5,235.0
6239,力成,6239,2.0,318.0,320.0,0.63,320.0,332.0,317.0,12758.0,16928.0,0.0,349.5,286.5,731.0,413245.0,3.0,129.0,4.72,320.0,320.5
2383,台光電,2383,-20.0,5315.0,5315.0,0.38,5295.0,5500.0,5270.0,1916.0,2524.0,0.0,5845.0,4785.0,108.0,1026315.0,1.0,3.0,4.33,5295.0,5300.0
6274,台燿,6274,-75.0,1645.0,1635.0,4.56,1570.0,1680.0,1565.0,4825.0,5815.0,0.0,1805.0,1485.0,258.0,779736.0,1.0,16.0,6.99,1570.0,1575.0
8358,金居,8358,10.0,523.0,534.0,1.91,533.0,563.0,529.0,8964.0,6620.0,0.0,575.0,471.0,275.0,490226.0,4.0,15.0,6.5,533.0,534.0
2368,金像電,2368,-75.0,1150.0,1125.0,6.52,1075.0,1140.0,1065.0,7617.0,3805.0,0.0,1265.0,1035.0,321.0,833095.0,83.0,14.0,6.52,1075.0,1080.0
3715,定穎投控,3715,-0.5,151.5,151.5,0.33,151.0,155.0,149.5,7346.0,10708.0,0.0,166.5,136.5,230.0,111468.0,16.0,235.0,3.63,151.0,151.5
1815,富喬,1815,-1.6,96.6,97.1,1.66,95.0,97.8,94.5,9656.0,12013.0,0.0,106.0,87.0,795.0,92677.0,33.0,258.0,3.42,95.0,95.1
6213,聯茂,6213,-8.5,393.5,395.0,2.16,385.0,404.5,381.5,29455.0,35650.0,0.0,432.5,354.5,1093.0,1153972.0,8.0,152.0,5.84,385.0,385.5
1303,南亞,1303,-0.5,182.0,186.5,0.27,181.5,193.0,174.0,121544.0,97659.0,0.0,200.0,164.0,3339.0,2220480.0,105.0,377.0,10.44,181.0,181.5
8021,尖點,8021,3.0,518.0,534.0,0.58,521.0,534.0,508.0,446.0,1242.0,0.0,569.0,466.5,44.0,23139.0,4.0,2.0,5.02,520.0,521.0
8064,東捷,8064,12.5,125.5,127.5,9.96,138.0,138.0,126.0,5447.0,4663.0,0.0,138.0,113.0,25.0,72475.0,0.0,3019.0,9.56,138.0,0.0
3167,大量,3167,-31.0,810.0,810.0,3.85,775.0,825.0,775.0,2235.0,3175.0,0.0,886.0,726.0,139.0,177935.0,1.0,6.0,6.2,775.0,776.0
2317,鴻海,2317,0.0,237.5,238.0,0.0,237.5,240.0,234.5,38718.0,36682.0,0.0,261.0,214.0,3430.0,920004.0,861.0,551.0,2.32,237.5,238.0
2356,英業達,2356,3.6,66.2,69.0,5.44,69.8,72.8,67.9,142470.0,22776.0,0.0,72.8,59.6,4485.0,1007718.0,107.0,86.0,7.4,69.7,69.8
6669,緯穎,6669,-10.0,5050.0,5020.0,0.2,5040.0,5215.0,4945.0,2135.0,931.0,0.0,5555.0,4545.0,113.0,1091241.0,1.0,1.0,5.35,5035.0,5040.0
